              table_name               |            column_name             |        data_type         | character_maximum_length | numeric_precision | numeric_scale | is_nullable 
---------------------------------------+------------------------------------+--------------------------+--------------------------+-------------------+---------------+-------------
 agendamentos                          | id                                 | uuid                     |                          |                   |               | NO
 agendamentos                          | user_id                            | uuid                     |                          |                   |               | NO
 agendamentos                          | cliente_id                         | uuid                     |                          |                   |               | YES
 agendamentos                          | veiculo_id                         | uuid                     |                          |                   |               | YES
 agendamentos                          | funcionario_id                     | uuid                     |                          |                   |               | YES
 agendamentos                          | titulo                             | text                     |                          |                   |               | NO
 agendamentos                          | descricao                          | text                     |                          |                   |               | YES
 agendamentos                          | data_hora                          | timestamp with time zone |                          |                   |               | NO
 agendamentos                          | duracao_min                        | integer                  |                          |                32 |             0 | YES
 agendamentos                          | status                             | text                     |                          |                   |               | NO
 agendamentos                          | created_at                         | timestamp with time zone |                          |                   |               | NO
 agendamentos_mecanico                 | id                                 | uuid                     |                          |                   |               | NO
 agendamentos_mecanico                 | user_id                            | uuid                     |                          |                   |               | NO
 agendamentos_mecanico                 | cliente_id                         | uuid                     |                          |                   |               | YES
 agendamentos_mecanico                 | veiculo_id                         | uuid                     |                          |                   |               | YES
 agendamentos_mecanico                 | funcionario_id                     | uuid                     |                          |                   |               | YES
 agendamentos_mecanico                 | titulo                             | text                     |                          |                   |               | NO
 agendamentos_mecanico                 | descricao                          | text                     |                          |                   |               | YES
 agendamentos_mecanico                 | data_hora                          | timestamp with time zone |                          |                   |               | NO
 agendamentos_mecanico                 | duracao_min                        | integer                  |                          |                32 |             0 | YES
 agendamentos_mecanico                 | status                             | text                     |                          |                   |               | NO
 agendamentos_mecanico                 | created_at                         | timestamp with time zone |                          |                   |               | NO
 agendamentos_mecanico                 | updated_at                         | timestamp with time zone |                          |                   |               | NO
 anexos                                | id                                 | uuid                     |                          |                   |               | NO
 anexos                                | user_id                            | uuid                     |                          |                   |               | NO
 anexos                                | conta_pagar_id                     | uuid                     |                          |                   |               | YES
 anexos                                | conta_receber_id                   | uuid                     |                          |                   |               | YES
 anexos                                | nome_arquivo                       | text                     |                          |                   |               | NO
 anexos                                | storage_path                       | text                     |                          |                   |               | NO
 anexos                                | tipo_arquivo                       | text                     |                          |                   |               | YES
 anexos                                | tamanho                            | bigint                   |                          |                64 |             0 | YES
 anexos                                | created_at                         | timestamp with time zone |                          |                   |               | NO
 aplicacoes                            | id                                 | uuid                     |                          |                   |               | NO
 aplicacoes                            | peca_id                            | uuid                     |                          |                   |               | NO
 aplicacoes                            | marca_moto                         | text                     |                          |                   |               | NO
 aplicacoes                            | modelo_moto                        | text                     |                          |                   |               | NO
 aplicacoes                            | ano                                | text                     |                          |                   |               | YES
 assinaturas                           | id                                 | uuid                     |                          |                   |               | NO
 assinaturas                           | user_id                            | uuid                     |                          |                   |               | NO
 assinaturas                           | status                             | text                     |                          |                   |               | NO
 assinaturas                           | plano                              | text                     |                          |                   |               | NO
 assinaturas                           | valor                              | numeric                  |                          |                   |               | NO
 assinaturas                           | data_inicio                        | timestamp with time zone |                          |                   |               | YES
 assinaturas                           | data_fim                           | timestamp with time zone |                          |                   |               | YES
 assinaturas                           | metodo_pagamento                   | text                     |                          |                   |               | YES
 assinaturas                           | pagarme_order_id                   | text                     |                          |                   |               | YES
 assinaturas                           | pagarme_charge_id                  | text                     |                          |                   |               | YES
 assinaturas                           | pagarme_customer_id                | text                     |                          |                   |               | YES
 assinaturas                           | pix_qr_code                        | text                     |                          |                   |               | YES
 assinaturas                           | pix_qr_code_url                    | text                     |                          |                   |               | YES
 assinaturas                           | boleto_url                         | text                     |                          |                   |               | YES
 assinaturas                           | boleto_barcode                     | text                     |                          |                   |               | YES
 assinaturas                           | created_at                         | timestamp with time zone |                          |                   |               | NO
 assinaturas                           | updated_at                         | timestamp with time zone |                          |                   |               | NO
 assinaturas_mecanico                  | id                                 | uuid                     |                          |                   |               | NO
